Nest ID,Patch,Filming session,Nest ID (Session),Species,Year,Reviewer initials,# Hosts?,# BHCO?,Avg_Age_Days,Nestling_Age_Notes,Parents return?,Can see dipping/begging,Priority,Done,Data Collection Category,Comments
KLN DICK 1 15,,8/12/2015,KLN DICK 1 15 (1),DICK,2015,JJC,3,0,5,,1,,,1,,
KLN DICK 1 15,,8/13/2015,KLN DICK 1 15 (2),DICK,2015,JJC,3,0,6,,1,,,1,,
KLN DICK 2 15,,8/22/2015,KLN DICK 2 15 (1),DICK,2015,JJC,1,0,5,,1,,,1,,
KLN DICK 2 15,,8/23/2015,KLN DICK 2 15 (2),DICK,2015,JJC,1,0,6,,1,,,1,,cam falls at the end
KLT DICK 10 15,,7/26/2015,KLT DICK 10 15 (1),DICK,2015,JJC,2,1,4,,1,0,,1,,
KLT DICK 10 15,,7/28/2015,KLT DICK 10 15 (2),DICK,2015,JJC,2,1,6,,1,1,,1,,
KLT DICK 13 15,,8/11/2015,KLT DICK 13 15 (1),DICK,2015,JJC,2,0,5,,0,NA,,1,,
KLT DICK 13 15,,8/12/2015,KLT DICK 13 15 (2),DICK,2015,JJC,2,0,6,,0,NA,,1,,
KLT DICK 14 15,,8/10/2015,KLT DICK 14 15 (1),DICK,2015,JJC,3,0,6,,1,1,,1,,
RIE DICK 53 15,,8/22/2015,RIE DICK 53 15 (1),DICK,2015,JJC,3,0,3,,1,0,,,,"4th clip, 29:51"
KLT DICK 4 15,,7/18/2015,KLN DICk 4 15 (1),DICK,2015,JJC,0,1,3.5,,1,1,,1,,cam falls at the end; nest smoked when camera picked up
KLT DICK 5 15,,7/7/2015,KLT DICK 5 15 (1),DICK,2015,JJC,0,3,6,,1,0,,1,,Only 2 BHCOs by time camera picked up
KLT DICK 8 15,,7/24/2015,KLT DICK 8 15 (1),DICK,2015,JJC,3,0,5,,1,clips 1-4,,1,,cam falls at 12 minutes in clip 6
LTR DICK 10 15,,8/2/2015,LTR DICK 10 15,DICK,2015,JJC,3,0,5.5,,1,1,,1,,
LTR DICK 10 15,,8/3/2015,LTR DICK 10 15 (2),DICK,2015,JJC,3,0,6.5,,1,0,,1,,
LTR DICK 12 15,,7/29/2015,LTR DICK 12 15,DICK,2015,JJC,1,0,5,,1,0,,1,,
LTR DICK 12 15,,7/30/2015,LTR DICK 12 15 (2),DICK,2015,JJC,1,0,6,,1,0,,1,,
LTR DICK 14 15,,7/29/2015,LTR DICK 14 15,DICK,2015,JJC,5,0,4,,1,0,,1,,
LTR DICK 14 15,,7/30/2015,LTR DICK 14 15 (2),DICK,2015,JJC,5,0,5,,1,0.5,,1,,"nest only had 3 chicks when camera was picked up; detailed begging and dipping info not availalbe, but can generally see when begging and dipping is happening. "
LTR DICK 15 15,,8/8/2015,LTR DICK 15 15,DICK,2015,JJC,4,0,5,,0,NA,,1,,camera angle bad - can't see nest or if parents return
LTR DICK 16 15,,8/5/2015,LTR DICK 16 15,DICK,2015,JJC,3,0,5.5,,1,0,,1,,"camera angle only allows us to see arrivals and leaving, but sounds like provisioning. "
LTR DICK 16 15,,8/6/2015,LTR DICK 16 15 (2),DICK,2015,JJC,3,0,6.5,,1,0,,1,,
LTR DICK 17 15,,8/5/2015,LTR DICK 17 15,DICK,2015,JJC,3,0,4,,0,NA,,1,,do not come back
LTR DICK 17 15,,8/7/2015,LTR DICK 17 15 (2),DICK,2015,JJC,3,0,6,,not until clip 4,1,,1,,"comes back clip 4, lots of begging"
LTR DICK 2 15,,7/15/2015,LTR DICK 2 15,DICK,2015,JJC,4,0,6,,1,0,,1,,
LTR DICK 2 15,,7/17/2015,LTR DICK 2 15 (2),DICK,2015,JJC,4,0,8,,1,1,,1,,cam falls at 7 minutes in clip 4
LTR DICK 20 15,,8/15/2015,LTR DICK 20 15,DICK,2015,JJC,4,0,5,,0,NA,,1,,"angle is difficult, lots of begging but can't reallykeep track"
LTR DICK 22 15,,8/19/2015,LTR DICK 22 15,DICK,2015,JJC,4,0,5,,1,0,,1,,"can sort of see begging, but low quality data. can see whether dipping is happening, but not who is being dipped on. "
LTR DICK 22 15,,8/20/2015,LTR DICK 22 15 (2),DICK,2015,JJC,4,0,6,,1,1,,1,,
LTR DICK 23 15,,8/8/2015,LTR DICK 23 15,DICK,2015,JJC,1,0,4,,1,0,,1,,
LTR DICK 23 15,,8/10/2015,LTR DICK 23 15 (2),DICK ,2015,JJC,1,0,6,,1,0,,1,,
LTR DICK 25 15,,8/19/2015,LTR DICK 25 15,DICK,2015,JJC,4,0,3.5,,1,1,,1,,
LTR DICK 25 15,,8/20/2015,LTR DICK 25 15 (2),DICK,2015,JJC,4,0,4.5,,1,0.5,,1,,nest smoked by time camera picked up
RIE DICK 47 15,,7/28/2015,RIE DICK 47 15 (2),DICK,2015,JJC,3,0,6,,1,1,,,,
NER DICK 8 15,,6/27/2015,NER DICK 8 15 (1),DICK,2015,JJC,4,0,8,,1,0,,1,,
NER DICK 9 15,,7/3/2015,NER DICK 9 15 (1),DICK,2015,JJC,3,0,6,,1,1,,1,,
NER DICK 9 15,,7/4/2015,NER DICK 9 15 (2),DICK,2015,JJC,3,0,7,,0,NA,,1,,
PYN DICK 3 15,,8/11/2015,PYN DICK 3 15,DICK,2015,JJC,2,1,5,,Not until clip 3,1,,1,,
PYN DICK 3 15,,8/12/2015,PYN DICK 3 15 (2),DICK,2015,JJC,2,1,6,,1,0,,1,,
PYN DICK 4 15,,8/19/2015,PYN DICK 4 15,DICK,2015,JJC,3,0,5.5,,NA,NA,,1,,cam falls clip 1
RIE DICK 11 15,,6/29/2015,RIE DICK 11 15,DICK,2015,JJC,1,4,5,,1,0,,1,,
RIE DICK 18 15,,7/5/2015,RIE DICK 18 15,DICK,2015,JJC,1,3,6,,1,0,,1,,
RIE DICK 19 15,,6/20/2015,RIE DICK 19 15 (1),DICK,2015,JJC,2,1,5.5,,0.5,0,,1,,"Parents return, but can only see them leaving"
RIE DICK 21 15,,6/23/2015,RIE DICK 21 15,DICK,2015,JJC,3,1,7.5,,1,0,,1,,Can only see arrival and leaving (too far away to see bug)
RIE DICK 22 15,,7/6/2015,RIE DICK 22 15,DICK,2015,JJC,2,3,5.5,,1,0,,1,,
RIE DICK 26 15,,7/4/2015,RIE DICK 26 21,DICK,2015,JJC,0,2,6,,1,1,,1,,"really great view, nestlings almost falling out though"
RIE DICK 27 15,,7/15/2015,RIE DICK 27 15,DICK,2015,JJC,3,0,6,,0,NA,,1,,
RIE DICK 29 15,,7/6/2015,RIE DICK 29 15,DICK,2015,JJC,0,1,4.5,,1,0,,1,,"no provisioning was entered, only arrival, so that needed to be fixed. "
RIE DICK 30 15,,7/13/2015,RIE DICK 30 15,DICK,2015,JJC,2,3,3.5,,0,NA,,1,,"can sort of see begging, but can't tell chicks apart"
RIE DICK 30 15,,7/14/2015,RIE DICK 30 15 (2),DICK,2015,JJC,2,3,4.5,,1,1,,1,,SO MUCH BEGGING THIS TOOK FOUR HOURS
RIE DICK 31 15,,7/23/2015,RIE DICK 31 15 (1),DICK,2015,JJC,2,2,4,,1,0,,1,,Nest sheet says nest also filmed on 7/22 (same contents)
RIE DICK 34 15,,7/23/2015,RIE DICK 34 15 (1),DICK,2015,JJC,2,2,4,,1,1,,1,,
RIE DICK 34 15,,7/23/2015,RIE DICK 34 15 (2),DICK,2015,JJC,2,2,5,,1,0,,1,,
RIE DICK 37 15,,7/8/2015,RIE DICK 37 15,DICK,2015,JJC,0,1,8,,1,1,,1,,
RIE DICK 38 15,,7/21/2015,RIE DICK 38 15 (1),DICK,2015,JJC,0,1,5,,0,NA,,1,,
RIE DICK 41.1 15,,7/19/2015,RIE DICK 41.1 15,DICK,2015,JJC,2,1,3,,NA,NA,,1,,camera tips over after one clip
RIE DICK 41.1 15,,7/21/2015,RIE DICK 41.1 15 (2),DICK,2015,JJC,2,1,5,,0,NA,,1,,
RIE DICK 41.2 15,,7/27/2015,RIE DICK 41.2 15 (1),DICK,2015,JJC,1,0,5,,1,1,,1,,
RIE DICK 42 15,,7/26/2015,RIE DICK 42 15 (1),DICK,2015,JJC,1,2,4,,1,0,,1,,
RIE DICK 42 15,,7/27/2015,RIE DICK 42 15 (2),DICK,2015,JJC,1,2,5,,1,0,,1,,
RIE DICK 45 15,,7/23/2015,RIE DICK 45 15 (1),DICK,2015,JJC,3,2,5,,1,1,,1,,
RIE DICK 45 15,,7/24/2015,RIE DICK 45 15 (2),DICK,2015,JJC,3,2,6,,1,0,,1,,
RIE DICK 45 15,,7/25/2015,RIE DICK 45 15 (3),DICK,2015,JJC,1,1,7,,1,0,,1,,
RIE DICK 47 15,,7/27/2015,RIE DICK 47 15 (1),DICK,2015,JJC,3,0,5,,1,1,,1,,
LTR DICK 3 15,,7/17/2015,LTR DICK 3 15,DICK,2015,JJC,0,3,9,,,,,,,
RIE DICK 48 15,,8/5/2015,RIE DICK 48 15 (1),DICK,2015,JJC,2,0,5.5,,1,1,,1,,Chicks noted as looking highly underdeveloped
RIE DICK 48 15,,8/6/2015,RIE DICK 48 15 (2),DICK,2015,JJC,2,0,6.5,,0,NA,,1,,Chicks noted as looking highly underdeveloped; Angle is pretty bad - could not see if Parents visited
KLT DICK 3 15,,6/29/2015,KLT DICK 3 15 (1),DICK,2015,JJC,0,3,5,,,,,,,
KLN EAME 1 22,,6/29/2022,KLN EAME 1 22 (1),EAME,2022,JLS,2,0,6,,1,,,,,
235 EAME 1 22,,6/26/2022,KLN EAME 1 22 (1),EAME,2022,NGP,2,2,3,4-Feb,,,,,,
235 DICK 1 22,,6/25/2022,235 DICK 1 22 (2),DICK,2022,SMG,0,2,8,,0,0,,,,
235 DICK 2 22,,6/29/2022,235 DICK 2 22(1),DICK,2022,SMG,0,2,4.4,6-May,,,,,,
